,valence,year,acousticness,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,artists,collaborators
19611,0.145,2020,0.401,0.731,205090,0.573,1,47EiUVwUp4C9fGccaPuUCS,5.22e-05,4,0.113,-10.059,0,Dakiti,100,2020-10-30,0.0544,109.928,"['Bad Bunny', 'Jhay Cortez']",2
19606,0.7559999999999999,2020,0.221,0.7,140526,0.722,1,3tjFYV6RSFtuktYl3ZtYcq,0.0,7,0.272,-3.5580000000000003,0,Mood (feat. iann dior),99,2020-07-24,0.0369,90.98899999999999,"['24kGoldn', 'iann dior']",2
19618,0.737,2020,0.0112,0.746,199054,0.765,0,0t1kP63rueHleOhQkYSXFY,0.0,6,0.0936,-4.41,0,Dynamite,97,2020-08-28,0.0993,114.044,['BTS'],1
19608,0.35700000000000004,2020,0.0194,0.935,187541,0.45399999999999996,1,4Oun2ylbjFKMPTiaSbbCih,0.0,1,0.0824,-7.508999999999999,1,WAP (feat. Megan Thee Stallion),96,2020-08-07,0.375,133.07299999999998,"['Cardi B', 'Megan Thee Stallion']",2
19610,0.682,2020,0.46799999999999997,0.737,172325,0.802,1,35mvY5S1H3J2QZyna3TFe0,0.0,0,0.0931,-4.771,1,positions,96,2020-10-30,0.0878,144.015,['Ariana Grande'],1
19612,0.5429999999999999,2020,0.65,0.7090000000000001,160000,0.5479999999999999,1,1tkg4EHVoqnhR6iFEXb60y,1.59e-06,10,0.133,-8.493,1,What You Know Bout Love,96,2020-07-03,0.353,83.995,['Pop Smoke'],1
19616,0.33399999999999996,2020,0.00146,0.514,200040,0.73,0,0VjIjW4GlUZAMYd2vXMi3b,9.54e-05,1,0.0897,-5.934,1,Blinding Lights,96,2020-03-20,0.0598,171.005,['The Weeknd'],1
19607,0.34700000000000003,2020,0.114,0.823,190476,0.586,1,0PvFJmanyNQMseIFrU708S,0.0,6,0.193,-6.606,0,For The Night (feat. Lil Baby & DaBaby),95,2020-07-03,0.2,125.971,"['Pop Smoke', 'Lil Baby', 'DaBaby']",3
19615,0.3720000000000001,2020,0.196,0.6729999999999999,212093,0.7040000000000001,0,5u1n1kITHCxxp8twBcZxWy,0.0,6,0.0898,-8.056000000000001,1,Holy (feat. Chance The Rapper),95,2020-09-18,0.36,86.919,"['Justin Bieber', 'Chance the Rapper']",2
19620,0.0927,2020,0.8640000000000001,0.631,149297,0.239,1,4y4spB9m0Q6026KfkAvy9Q,0.0,11,0.11599999999999999,-7.0710000000000015,0,Lonely (with benny blanco),95,2020-10-16,0.0398,79.859,"['Justin Bieber', 'benny blanco']",2
19623,0.0799,2020,0.7859999999999999,0.642,169266,0.374,0,45bE4HXI0AwGZXfZtMp8JR,0.0,4,0.0906,-9.386000000000001,1,you broke me first,95,2020-04-17,0.0545,124.09899999999999,['Tate McRae'],1
19407,0.557,2019,0.122,0.5479999999999999,174000,0.816,0,6UelLqGlWMcVH1E5c4H7lY,0.0,0,0.335,-4.209,1,Watermelon Sugar,94,2019-12-13,0.0465,95.39,['Harry Styles'],1
19613,0.47100000000000003,2020,0.256,0.799,195429,0.66,1,02kDW379Yfd5PzW5A6vuGt,0.0,1,0.111,-6.153,0,Lemonade,94,2020-08-14,0.079,140.04,"['Internet Money', 'Gunna', 'Don Toliver', 'NAV']",4
19655,0.905,2020,0.168,0.7340000000000001,166028,0.8740000000000001,0,6cx06DFPPHchuUAcTxznu9,1.1400000000000001e-05,8,0.0489,-3.158,1,Head & Heart (feat. MNEK),94,2020-07-03,0.0662,122.95299999999999,"['Joel Corry', 'MNEK']",2
19720,0.835,2020,0.0337,0.7929999999999999,247308,0.7709999999999999,0,35UUpTmrcFXNIVIN26ujXl,1.51e-06,5,0.284,-3.417,1,Relación - Remix,94,2020-09-04,0.0959,171.94299999999996,"['Sech', 'Daddy Yankee', 'J Balvin', 'ROSALÍA', 'Farruko']",5
19619,0.27,2020,0.584,0.35700000000000004,198040,0.425,0,4xqrdfXkTW4T0RauPLv3WA,0.0,5,0.322,-7.301,1,Heather,93,2020-03-20,0.0333,102.07799999999999,['Conan Gray'],1
