,year,name,artists,popularity_x,genres,genre
886,1929,Mack the Knife,Louis Armstrong,52,"['adult standards', 'dixieland', 'harlem renaissance', 'jazz trumpet', 'new orleans jazz', 'swing', 'vocal jazz']",jazz
3527,1928,"Sing, Sing, Sing",Benny Goodman,51,"['adult standards', 'bebop', 'big band', 'jazz', 'jazz clarinet', 'lounge', 'stride', 'swing', 'vintage jazz', 'vocal jazz']",adult standards
2963,1926,Ain't Misbehavin',Fats Waller,49,"['adult standards', 'bebop', 'dixieland', 'harlem renaissance', 'jazz', 'jazz piano', 'ragtime', 'stride', 'swing', 'tin pan alley', 'vocal jazz']",adult standards
3626,1928,"Dark Was the Night, Cold Was the Ground",Blind Willie Johnson,47,"['acoustic blues', 'appalachian folk', 'blues', 'country blues', 'gospel blues', 'texas blues', 'traditional blues', 'traditional folk']",Eclectic
2964,1926,Two Sleepy People,Fats Waller,45,"['adult standards', 'bebop', 'dixieland', 'harlem renaissance', 'jazz', 'jazz piano', 'ragtime', 'stride', 'swing', 'tin pan alley', 'vocal jazz']",adult standards
3627,1928,It's Nobody's Fault but Mine,Blind Willie Johnson,42,"['acoustic blues', 'appalachian folk', 'blues', 'country blues', 'gospel blues', 'texas blues', 'traditional blues', 'traditional folk']",Eclectic
822,1923,Nobody Knows You When You're Down and Out,Bessie Smith,42,"['blues', 'harlem renaissance', 'jazz blues', 'traditional blues', 'vocal jazz']",blues
3063,1927,Singin' The Blues,Bix Beiderbecke,41,"['big band', 'dixieland', 'jazz trumpet', 'ragtime', 'stride', 'swing', 'tin pan alley', 'vintage jazz']",Eclectic
2759,1925,"On the Sunny Side of the Street (From ""Is Everybody Happy?"")",Tommy Dorsey,37,"['adult standards', 'big band', 'easy listening', 'jazz trombone', 'lounge', 'stride', 'swing', 'vocal jazz']",Eclectic
887,1929,I Can't Believe That You're In Love With Me,Louis Armstrong,37,"['adult standards', 'dixieland', 'harlem renaissance', 'jazz trumpet', 'new orleans jazz', 'swing', 'vocal jazz']",Eclectic
