,year,name,artists,popularity_x,genres,genre
11006,1977,Dreams - 2004 Remaster,Fleetwood Mac,89,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",rock
11606,1980,Back In Black,AC/DC,84,"['album rock', 'australian rock', 'hard rock', 'rock']",rock
11406,1979,Highway to Hell,AC/DC,84,"['album rock', 'australian rock', 'hard rock', 'rock']",rock
10806,1976,Hotel California - 2013 Remaster,Eagles,83,"['album rock', 'classic rock', 'country rock', 'folk rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",rock
10406,1974,Sweet Home Alabama,Lynyrd Skynyrd,82,"['album rock', 'blues rock', 'classic rock', 'country rock', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'southern rock']",rock
11007,1977,The Chain - 2004 Remaster,Fleetwood Mac,82,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",rock
10006,1972,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,82,"['glam rock', 'mellow gold', 'piano rock', 'soft rock']",rock
11008,1977,Mr. Blue Sky,Electric Light Orchestra,81,"['album rock', 'art rock', 'beatlesque', 'bow pop', 'classic rock', 'folk rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock']",rock
10606,1975,Landslide,Fleetwood Mac,80,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",rock
11610,1980,You Shook Me All Night Long,AC/DC,80,"['album rock', 'australian rock', 'hard rock', 'rock']",rock
