,Test,Statistic
0,T-Test for mean valence of all songs vs. mean valence of top 5% of all songs:,"Ttest_indResult(statistic=9.152369769773115, pvalue=6.708651043296469e-20)"
1,T-Test for mean valence of all solo songs vs. mean valence of top 5% of all solo songs:,"Ttest_indResult(statistic=14.322951506589463, pvalue=7.24248933852216e-46)"
2,T-Test for mean valence of all duets vs. mean valence of top 5% of all duets:,"Ttest_indResult(statistic=-2.6080976361627726, pvalue=0.009169511483149274)"
3,T-Test for mean valence of all collabs vs. mean valence of top 5% of all collabs:,"Ttest_indResult(statistic=-15.150006947758197, pvalue=2.4339715817432287e-45)"
4,T-Test for mean acousticness of all songs vs. mean acousticness of top 5% of all songs:,"Ttest_indResult(statistic=81.50413657507832, pvalue=0.0)"
5,T-Test for mean acousticness of all solo songs vs. mean acousticness of top 5% of all solo songs:,"Ttest_indResult(statistic=51.50985742109722, pvalue=0.0)"
6,T-Test for mean acousticness of all duets vs. mean acousticness of top 5% of all duets:,"Ttest_indResult(statistic=66.42811894365396, pvalue=0.0)"
7,T-Test for mean acousticness of all collabs vs. mean acousticness of top 5% of all collabs:,"Ttest_indResult(statistic=61.603500175496336, pvalue=1.70168233e-315)"
8,T-Test for mean danceability of all songs vs. mean danceability of top 5% of all songs:,"Ttest_indResult(statistic=-52.60460942916747, pvalue=0.0)"
9,T-Test for mean danceability of all solo songs vs. mean danceability of top 5% of all solo songs:,"Ttest_indResult(statistic=-30.384783425533794, pvalue=2.8899054325690307e-190)"
10,T-Test for mean danceability of all duets vs. mean danceability of top 5% of all duets:,"Ttest_indResult(statistic=-42.42641013967331, pvalue=3.0779727984655376e-287)"
11,T-Test for mean danceability of all collabs vs. mean danceability of top 5% of all collabs:,"Ttest_indResult(statistic=-38.57059548244426, pvalue=4.58300516439481e-182)"
12,T-Test for mean duration_ms of all songs vs. mean duration_ms of top 5% of all songs:,"Ttest_indResult(statistic=19.6747562170576, pvalue=5.646777205145274e-85)"
13,T-Test for mean duration_ms of all solo songs vs. mean duration_ms of top 5% of all solo songs:,"Ttest_indResult(statistic=10.12112486488086, pvalue=6.028401490958723e-24)"
14,T-Test for mean duration_ms of all duets vs. mean duration_ms of top 5% of all duets:,"Ttest_indResult(statistic=12.905301841386455, pvalue=2.594393367412854e-37)"
15,T-Test for mean duration_ms of all collabs vs. mean duration_ms of top 5% of all collabs:,"Ttest_indResult(statistic=19.23439324864583, pvalue=9.76428494538968e-74)"
